CARTR,BINOMIALR,MARSR,NNETR,SVMR,CARTC,NAIVEC,NNETC,SVMC,KNNC,Class
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
53,44,44,44,53,3,53,44,1,44,1
134,48,58,76,67,247,13,186,221,167,0
124,244,144,166,241,158,213,216,203,46,0
31,65,69,38,65,119,28,82,230,78,0
277,115,52,141,161,82,29,21,31,152,0
28,66,188,138,33,210,233,258,41,115,0
224,192,69,273,36,55,156,213,109,124,0
24,113,69,34,146,239,202,201,155,162,0
264,165,57,244,242,258,162,174,197,244,0
255,38,242,85,152,186,93,256,152,140,0
206,187,181,102,52,185,246,12,1,101,0
257,160,62,19,232,185,83,48,175,197,0
131,250,5,197,234,1,125,64,164,69,0
104,119,132,265,48,8,197,182,163,271,0
9,2,162,198,243,239,141,180,203,24,0
118,100,190,94,54,156,174,153,176,14,0
245,241,96,244,10,93,54,196,70,162,0
69,211,22,109,155,14,21,261,93,211,0
84,159,169,94,9,132,135,136,10,80,0
188,57,68,129,116,254,140,8,275,54,0
217,244,1,254,53,25,184,220,254,88,0
67,137,157,160,84,208,9,114,178,155,0
49,66,30,268,13,65,224,153,263,168,0
75,73,260,175,169,75,105,203,196,53,0
115,229,131,210,143,135,253,237,11,258,0
141,258,135,116,161,188,27,53,25,241,0
71,16,113,185,121,46,27,149,206,13,0
100,157,64,216,225,34,176,217,142,106,0
209,18,242,257,201,264,227,116,140,264,0
65,250,222,60,170,99,45,270,90,122,0
129,117,92,143,193,245,41,5,68,49,0
115,106,56,20,7,5,58,37,166,177,0
2,176,46,8,98,72,273,115,92,171,0
154,125,53,7,151,184,226,72,151,199,0
277,123,114,10,4,196,207,40,166,276,0
166,39,83,87,275,127,255,25,83,132,0
122,160,191,194,135,53,106,115,255,140,0
176,148,113,131,141,173,137,104,222,47,0
162,227,104,97,273,274,116,275,40,250,0
164,243,275,43,53,165,170,45,216,53,0
204,271,214,208,156,222,112,168,195,154,0
273,7,170,276,104,139,233,244,37,136,0
17,56,127,267,163,190,160,218,131,146,0
239,209,108,123,103,247,209,271,64,191,0
37,55,202,266,0,174,90,226,151,195,0
195,154,79,101,226,129,181,110,93,189,0
29,104,152,251,37,68,78,85,68,210,0
129,77,165,123,207,14,170,58,249,50,0
255,225,248,45,181,47,38,168,63,127,0
263,170,12,188,234,9,145,48,103,126,0
26,156,79,230,277,234,187,93,196,46,0
154,230,165,67,42,149,151,65,202,5,0
179,36,89,29,157,121,23,45,261,57,0
71,102,39,56,213,279,155,143,42,141,0
97,109,200,2,21,172,268,70,138,264,0
120,211,263,91,42,242,19,227,68,243,0
46,69,272,73,77,10,64,84,113,47,0
192,272,5,163,121,147,98,50,98,20,0
26,39,84,151,101,182,107,197,106,118,0
92,24,230,133,40,252,42,238,100,200,0
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
5,2,5,4,4,60,60,5,60,5,1
28,166,73,20,253,13,70,53,122,223,0
176,204,201,146,12,244,26,250,89,74,0
55,151,277,231,26,272,98,257,218,137,0
68,88,129,184,57,164,148,174,94,115,0
88,72,51,192,253,213,2,103,258,170,0
161,221,246,65,232,109,102,193,25,141,0
143,142,61,55,234,241,253,3,263,2,0
139,130,199,257,133,13,210,157,178,204,0
113,4,253,34,186,273,196,78,214,171,0
276,44,120,89,58,74,244,268,64,47,0
49,37,42,253,228,6,108,215,171,109,0
10,182,243,74,243,38,119,41,203,205,0
45,75,92,107,54,15,120,124,202,94,0
246,195,158,204,78,161,204,162,154,251,0
36,177,228,113,236,9,70,3,145,87,0
26,70,25,165,182,132,31,59,35,106,0
2,187,27,274,147,106,268,145,9,99,0
213,219,90,245,244,250,32,213,242,246,0
173,54,44,270,77,244,47,100,127,209,0
222,55,191,175,107,130,171,227,272,2,0
240,35,145,13,40,38,264,229,266,105,0
139,27,207,219,158,209,204,278,265,120,0
217,237,103,56,260,29,82,46,19,236,0
221,31,37,70,40,67,227,143,10,37,0
272,67,30,79,114,248,140,154,164,69,0
26,82,233,252,175,232,223,170,77,266,0
30,48,65,37,187,74,167,195,62,12,0
158,207,172,229,78,268,218,275,273,125,0
47,54,269,88,276,81,157,276,178,50,0
174,114,112,211,21,128,240,17,171,7,0
253,234,138,174,68,68,134,191,227,96,0
67,160,258,165,222,60,213,64,139,128,0
267,145,19,18,86,113,8,130,15,232,0
63,109,165,196,127,6,170,187,236,109,0
226,17,3,108,265,5,210,228,176,126,0
126,271,244,187,263,222,211,15,172,226,0
211,203,71,151,129,158,100,109,259,248,0
259,184,59,92,96,0,104,179,35,67,0
218,237,97,117,2,11,174,50,140,136,0
45,186,122,254,263,131,126,12,67,261,0
243,77,199,54,41,52,52,37,99,147,0
215,140,199,171,129,271,65,110,213,170,0
92,216,49,94,262,148,99,267,47,75,0
25,202,222,7,277,209,160,278,83,242,0
278,161,201,109,129,28,178,121,29,216,0
22,274,199,148,42,180,69,99,199,141,0
120,54,90,265,176,18,263,63,21,188,0
251,113,221,137,245,25,94,170,271,102,0
186,237,63,62,162,63,116,61,33,165,0
200,244,126,17,65,189,173,185,83,82,0
259,108,222,126,203,158,279,27,114,43,0
141,58,275,64,243,170,80,221,69,223,0
151,70,200,124,12,201,27,275,256,202,0
124,56,62,169,56,166,110,133,19,73,0
40,203,0,155,198,134,230,266,94,18,0
47,22,243,172,101,40,95,169,155,38,0
39,119,222,140,163,224,167,252,64,122,0
157,278,236,100,219,106,174,116,196,2,0
103,11,78,205,241,57,194,118,186,45,0
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
5,5,5,5,5,60,60,5,60,5,1
159,267,29,133,13,273,125,180,205,117,0
55,265,274,222,211,28,251,38,86,3,0
241,150,136,251,264,193,117,234,75,169,0
193,81,8,134,277,104,173,85,57,273,0
110,101,237,86,21,196,112,262,84,72,0
108,242,121,186,44,142,231,221,106,3,0
189,69,57,258,165,34,276,11,35,67,0
42,11,39,215,47,228,186,214,72,118,0
1,151,2,67,73,59,167,129,175,30,0
142,72,82,262,54,211,184,211,247,75,0
138,263,164,79,228,271,161,24,213,119,0
158,137,79,276,205,156,212,75,198,38,0
245,47,219,29,264,72,114,24,22,22,0
136,60,117,100,60,168,49,58,159,166,0
194,235,254,258,250,190,73,126,61,143,0
260,260,237,237,15,45,138,15,123,182,0
210,215,84,146,74,136,270,74,209,252,0
125,146,173,142,117,85,253,95,218,48,0
274,212,141,180,203,20,108,197,276,30,0
165,175,241,41,135,273,76,238,52,130,0
273,272,271,55,147,44,22,102,29,155,0
220,85,247,60,102,268,154,278,63,193,0
2,140,227,258,255,265,4,60,224,34,0
85,114,141,259,72,162,22,193,190,66,0
54,103,211,40,198,188,218,150,63,10,0
69,196,160,146,161,0,256,58,57,104,0
88,80,146,232,128,40,206,263,76,129,0
136,132,147,86,146,102,244,153,182,209,0
6,218,248,60,18,165,12,23,23,49,0
129,153,138,276,105,256,103,164,4,18,0
168,152,8,48,193,125,175,267,134,101,0
157,150,90,138,133,235,245,177,247,89,0
224,17,87,115,24,146,229,276,189,170,0
181,31,14,90,275,115,67,144,269,115,0
103,46,28,91,272,151,223,94,28,138,0
270,229,1,255,129,234,24,158,155,266,0
151,103,166,41,3,244,84,240,223,218,0
143,193,107,70,190,67,35,173,20,73,0
58,172,94,124,172,166,209,25,173,156,0
6,69,65,102,140,29,217,216,136,43,0
119,176,66,98,14,171,119,34,96,207,0
7,103,117,67,115,84,46,43,133,21,0
123,272,3,266,255,100,17,55,198,99,0
82,264,103,205,251,162,36,80,268,37,0
131,98,51,213,233,203,231,152,202,17,0
71,34,151,254,197,84,148,172,90,243,0
205,129,22,60,220,245,12,245,58,216,0
136,127,200,137,206,240,56,185,145,4,0
205,13,236,204,107,2,208,175,61,27,0
35,180,161,127,177,274,234,118,146,158,0
170,49,176,140,162,137,114,257,79,39,0
274,21,27,243,176,190,141,144,233,255,0
77,37,216,199,273,127,198,166,269,265,0
89,243,258,134,23,144,62,45,229,127,0
131,98,168,190,207,278,143,37,144,61,0
107,209,193,109,156,265,222,110,162,109,0
216,229,13,54,77,10,57,184,135,42,0
265,84,191,239,142,83,190,274,181,269,0
232,67,267,247,77,79,229,251,61,65,0
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
58,58,58,2,52,28,6,1,20,58,1
120,234,72,203,209,148,215,3,27,159,0
130,171,155,14,39,8,169,153,20,236,0
165,122,185,151,44,40,125,256,278,84,0
195,50,124,65,56,74,243,56,60,148,0
32,201,131,165,87,151,31,83,132,26,0
212,184,205,152,39,78,98,173,196,52,0
58,110,178,70,267,230,157,60,246,144,0
89,81,20,11,269,227,1,163,91,74,0
156,236,83,17,16,170,255,90,154,68,0
174,126,230,214,224,202,201,222,19,53,0
53,78,264,94,125,168,149,178,69,40,0
192,58,36,259,148,28,105,69,163,96,0
151,232,73,91,103,64,224,112,168,20,0
269,138,126,47,167,222,140,36,223,269,0
207,192,64,16,16,265,5,244,173,109,0
105,77,70,157,103,46,199,104,182,22,0
254,28,217,262,203,23,65,47,23,59,0
71,185,210,120,73,79,165,212,104,214,0
9,102,148,163,162,224,5,4,27,90,0
199,206,143,162,240,222,161,146,258,92,0
41,194,264,146,44,100,14,98,118,7,0
129,253,127,179,0,232,31,83,54,120,0
15,105,61,206,150,107,81,174,44,83,0
38,241,111,188,22,267,167,160,75,71,0
104,23,69,118,36,9,209,246,114,269,0
183,271,143,34,62,1,23,18,102,137,0
240,263,137,130,188,221,15,72,257,151,0
52,56,190,174,8,140,140,44,132,83,0
142,271,108,148,175,169,125,66,255,204,0
11,227,225,42,15,211,44,130,229,278,0
60,183,6,195,180,274,238,68,131,240,0
115,105,240,183,176,28,43,217,38,271,0
73,35,206,161,243,256,253,272,204,198,0
28,225,261,66,27,219,79,79,170,137,0
268,249,92,78,275,32,88,170,158,136,0
197,67,177,237,225,23,34,20,278,237,0
255,245,122,100,120,37,137,251,226,199,0
17,256,77,42,42,76,187,78,88,187,0
222,0,110,121,52,125,1,24,9,75,0
70,135,202,179,161,108,57,131,235,193,0
50,16,14,276,177,64,209,169,205,253,0
243,243,13,70,253,55,198,144,169,1,0
14,249,257,16,184,53,101,236,268,185,0
85,112,74,61,159,34,107,167,229,136,0
101,162,174,237,113,278,111,176,74,105,0
254,141,227,130,59,173,213,166,148,241,0
269,180,115,156,79,107,125,190,105,83,0
170,116,37,0,157,5,92,155,183,0,0
140,132,212,1,134,98,177,58,78,26,0
183,86,200,174,185,209,259,52,87,275,0
37,79,165,59,3,28,211,232,131,3,0
17,171,56,13,6,144,121,140,261,43,0
135,102,53,192,48,227,68,259,85,70,0
7,157,236,153,88,120,275,96,101,202,0
226,0,265,277,187,176,81,95,73,277,0
21,101,74,156,144,170,203,217,54,150,0
190,196,266,9,194,211,17,55,208,218,0
246,254,277,271,99,122,217,114,177,105,0
162,169,228,130,5,187,93,129,27,226,0
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
58,58,58,23,33,28,6,23,8,58,1
93,229,4,243,99,259,155,74,155,115,0
46,78,60,272,88,171,27,174,196,111,0
1,251,80,252,142,31,124,252,112,152,0
110,35,52,158,139,102,95,46,211,153,0
234,90,250,262,128,197,215,10,270,21,0
259,209,30,41,47,234,167,73,122,53,0
156,236,134,160,111,268,262,41,10,63,0
158,94,194,223,191,104,257,193,85,222,0
238,75,167,278,139,158,123,126,195,218,0
139,0,62,33,200,204,266,187,81,40,0
72,233,64,83,136,134,49,15,17,31,0
248,60,217,44,126,257,102,262,24,173,0
55,256,260,28,273,90,240,37,146,200,0
257,8,164,1,37,37,270,75,69,63,0
13,92,131,128,250,260,260,134,25,278,0
249,75,165,237,104,66,171,251,250,109,0
1,149,97,108,274,114,256,88,26,82,0
31,181,57,59,65,45,189,239,99,58,0
128,2,76,115,83,271,132,272,182,121,0
258,225,21,79,13,216,224,233,175,167,0
151,167,209,148,272,193,191,113,207,121,0
130,239,168,237,187,163,100,232,130,201,0
142,192,212,21,57,106,194,144,200,169,0
196,255,49,134,257,56,79,250,9,246,0
74,134,82,220,53,115,244,5,92,166,0
249,249,8,147,187,84,89,218,260,137,0
271,23,212,180,156,235,243,45,153,136,0
268,265,180,82,1,130,203,241,249,190,0
183,163,27,133,184,207,13,156,169,91,0
133,102,192,270,227,266,101,178,210,64,0
3,26,194,93,16,66,19,47,157,195,0
207,74,154,245,76,168,202,279,148,175,0
229,82,148,60,152,179,214,29,78,240,0
42,244,129,162,96,248,153,240,147,198,0
128,196,130,60,103,159,176,102,225,7,0
102,122,210,25,50,133,187,50,247,32,0
45,255,248,182,271,52,73,52,70,89,0
237,19,167,89,278,58,196,36,28,107,0
193,101,189,160,107,125,117,55,140,230,0
50,145,141,124,239,112,40,29,123,230,0
88,58,133,58,39,141,159,46,204,10,0
28,212,32,66,86,279,107,259,96,101,0
40,59,117,10,249,27,4,168,136,129,0
249,178,220,45,17,176,140,181,129,213,0
219,220,170,44,200,109,149,241,88,45,0
136,36,91,134,203,167,136,72,266,33,0
69,67,6,44,271,127,50,112,122,220,0
159,98,253,222,77,239,150,247,230,179,0
190,136,128,95,16,91,136,22,11,256,0
237,192,257,47,272,55,251,61,190,143,0
68,151,79,59,135,3,142,242,77,207,0
197,193,15,97,189,106,36,173,239,249,0
119,37,114,263,97,202,9,104,22,89,0
72,55,183,193,99,130,51,17,43,168,0
274,279,110,270,208,98,226,97,35,73,0
78,69,57,140,20,260,32,120,127,11,0
235,225,117,46,6,183,145,252,223,3,0
208,69,241,43,69,223,6,41,155,200,0
96,154,215,278,220,226,88,123,251,236,0
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
58,23,58,6,9,1,6,18,5,58,1
220,124,118,255,96,168,62,101,35,149,0
222,29,176,165,101,104,46,73,148,104,0
221,60,192,181,167,256,276,257,81,118,0
22,115,61,254,36,233,117,15,3,94,0
62,40,276,43,255,229,179,162,124,101,0
77,45,235,168,14,173,82,278,173,215,0
59,75,276,136,134,223,111,233,57,273,0
152,94,38,171,133,65,49,264,207,36,0
21,122,256,251,18,225,152,143,260,38,0
171,70,51,93,218,128,171,65,189,221,0
144,97,210,18,55,272,189,11,171,218,0
252,242,67,179,254,21,205,90,151,246,0
